Record ID,Company name,Description,Website URL,Country/Region,Industry Tag Test,EEA Membership Class,LinkedIn,X
38487577660,Accenture,"Accenture is a global professional services company offering a wide range of services in strategy, consulting, digital, technology, and operations across 40+ industries worldwide.",accenture.com,Ireland,"Enterprise Solutions & Technology Providers
",B4_(5B+ 5000+),https://www.linkedin.com/company/accenture/,@accenture_us
38548285707,Adhara Ltd.,Adhara is a liquidity management and international payments platform for decentralized financial networks.,adhara.io,United Kingdom,Payments & Financial Infrastructure,B1,https://www.linkedin.com/company/adhara-io/,N/A
38487573546,ao | Arweave via Community Labs,"Arweave ecosystem incubator, supporting decentralized storage adoption. Sponsorship (Ethical Tech Summit).",https://www.communitylabs.com,United States,,B1,https://www.linkedin.com/company/arweave/?originalSubdomain=uk,@arweaveeco
9786629502,Applied Blockchain,"Applied Blockchain is a blockchain application development and consulting firm specializing in Distributed Ledger Technology and smart contract solutions. They have delivered over 100 blockchain platforms, including NFT marketplaces, DeFi, and Web3 app...",appliedblockchain.com,United Kingdom,Enterprise Solutions & Technology Providers,B2_(50+),https://www.linkedin.com/company/applied-blockchain/,@AppBlockchain
38548348202,Arche Capital,"Early stage Web3 VC focusing on the convergence of financial services, blockchain and AI.",arche.capital,United States,Capital & Investment,A1,https://www.linkedin.com/company/arche-capital/,@arche_capital
9097034647,"BlockApps, Inc.",BlockApps is a company that helps businesses harness the power of Web3 to unlock the full value of their assets through transactional transparency. They are the leader in Web3Commerce for Business and specialize in making real-world assets more trusted...,blockapps.net,United States,Payments & Financial Infrastructure,A1,https://www.linkedin.com/company/blockapps/,@blockapps
1987039717,Blockchain Digital Capital LTD,Blockchain investment and advisory firm.,https://bdcap.live,,Capital & Investment,B1,N/A,N/A
38487577874,Chainlink,"SmartContract is a leading provider of secure and reliable open source oracle solutions, enabling smart contracts to access anything outside their native blockchain.",smartcontract.com,United States,Data & Connectivity,B4_(5B+ 5000+),https://www.linkedin.com/company/chainlink-labs/,@chainlink
23482002017,Chainsecurity (Decentralized Security AG),"ChainSecurity, specialized in Ethereum/DeFi smart contract audits.",chainsecurity.com,Switzerland,Security & Risk Management,B1,https://www.linkedin.com/company/chainsecurity/?originalSubdomain=ch,@chain_security
38548347993,Circle,"Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currencies and public blockchains for payments, commerce, and financial applications worldwide. Circle is the principal operator of USD Co...",circle.com,United States,Payments & Financial Infrastructure,B3_(1B+ 500+),https://www.linkedin.com/company/circle-internet-financial/,@circle
